Used_Hashtag(s),Tweet_Content,Post_Length,Likes_Count,Tweet_DateTime,Replies_Count,Retweets_Count,Image(s),video(s),GIF(s),HaveText,Tweet_URL,Reply_Content,Reply_URL
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@WinTheDay_DX We're glad you spoke up as we're concerned to hear you received the wrong size pants and we'd like to look into this further. Please DM us with your order number and the email address provided at checkout. We look forward to your reply!,https://twitter.com/Gap/status/1697567292509303104
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie Horrible customer service. They sent me the wrong size pants (seven sizes too big) and then refused to send me the correct size.,https://twitter.com/WinTheDay_DX/status/1697413842203275747
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@wschuu We're concerned to hear this Wschuu and are happy to help. Please DM us with your order number and email address so we can see the options we have to help. We look forward to helping you soon!,https://twitter.com/Gap/status/1688564028430282752
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie Why wont the Gap X Barbie collection load on my iPhone?,https://twitter.com/VIVASCIOUS341/status/1683878249540079623
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,"@hales131 Hi Haley, we'd love to look into this for you, please DM us your order details and email address! We look forward to your reply!",https://twitter.com/Gap/status/1683280874249367553
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie Terrible delivery services and customer service. Package never arrived and was signed by someone 4 days ago- not at my address. No one will help. @Gap,https://twitter.com/hales131/status/1683280330877222914
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,"@Crystallee77 Hi Crystal, we are so sorry to hear this! Please DM us with your order number and the email address you used to shop with us so that we can look into this for you. We hope to hear from you soon!",https://twitter.com/Gap/status/1683138159478026241
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,"@Gap @Google @Adobe @Barbie Super dissapointed that my order did not arrive by the provided time. Was hoping to wear it to see the movie, but no updated tracking and crickets from you. The first and last time I shop Gap online . PS @UPS SurePost Sucks!!",https://twitter.com/Crystallee77/status/1683136359798652928
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie https://t.co/XUvajZMBaD,https://twitter.com/jjsandoval20232/status/1680338901796356096
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie This collab is trash quality. Do not buy.,https://twitter.com/J62697317/status/1679911545739022337
