Used_Hashtag(s),Tweet_Content,Post_Length,Likes_Count,Tweet_DateTime,Replies_Count,Retweets_Count,Image(s),video(s),GIF(s),HaveText,Tweet_URL,Reply_Content,Reply_URL
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,@hm @Janefonda not hyped to see jane as an envt./climate change activist to support hm that's largely responsible for manufacturing fast fashion products damaging the envt.,https://twitter.com/blankmetaphor/status/1695502599620047315
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,"@yash87592999 @hm @Janefonda @hm_custserv 
@hm 
Kindly update on my order.. it’s more than 25 days and I haven’t received the same. Courier company is showing that packet is lost and your team is not responding.. I have already paid the amount.. I need my refund",https://twitter.com/pooajay123/status/1695259520803750243
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,@hm @Janefonda Very poor services,https://twitter.com/BecahrP/status/1691396465892192256
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,@hm @Janefonda wow,https://twitter.com/Neeva89/status/1689246191920484352
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,@hm @Janefonda https://t.co/15AENUULad,https://twitter.com/LisaS98809690/status/1688076755225968640
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,"@hm @Janefonda Yuka Nagate is sending smells to brand new clothes, saying it as a gift　　＃freevoice",https://twitter.com/BRL14DwSodGeEJW/status/1682413107250081792
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,@hm @Janefonda ;p @ParisHilton,https://twitter.com/HomerBeeSharps/status/1680777916093718528
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,"@hm @Janefonda I have invested significant time and energy in following up on this matter, n its disheartening to experience such a lack of responsiveness from your end.",https://twitter.com/chanR16/status/1679559059895386112
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,@hm @Janefonda https://t.co/fdESnJqhJA,https://twitter.com/lettyjassy/status/1677366571470315521
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,"@hm @Janefonda Tell me does Jane Fonda have to serve herself. I walked out of your store in Dundee when an assistant would not serve me although they had served a customer before at a self service till. £60 sale lost. And all future sales, you're boycotted.",https://twitter.com/PedroCoPsy/status/1676987414332469248
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,"@yash87592999 Hi! We have gone through the messages and it's unfortunate to know that you had to interact with us multiple times on this issue. Kindly DM us your full name, email and complete address to access and verify your account. We'll be glad to help you!",https://twitter.com/hm_custserv/status/1676439216392208386
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,"@hm @Janefonda Hi team, I have been to return one of my orders for past 5 days but unable to return as the @hm app is throwing some error. I even tried to call @hm customer care but no response and now the return window is closed. Please help me. Screenshot of error attached https://t.co/NIUmsMnvEK",https://twitter.com/yash87592999/status/1676256158468947970
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,"@hm @Janefonda Wonder if she’s use your unisex changing rooms with no cubicles, only curtains &amp; no attendant?
Why do you hate women?
Why do you think women will want to use your store if you can’t guarantee a woman’s safety?",https://twitter.com/WomanPissedoff/status/1672335362616598529
"#HMmove, #JaneFonda","She needs no introduction. It's @Janefonda, the newest member of the H&amp;M Move team. From home workouts to marches, it has been her lifelong mission to move every body.

#HMmove #JaneFonda https://t.co/yUtUl814Im",215,306,2022-08-04 15:00:08+00:00,157,58,3,0,0,True,https://twitter.com/hm/status/1555206959204376577,@hm @Janefonda ❤️‍🔥,https://twitter.com/TiTANO_STYLE/status/1670346981397483523
