Used_Hashtag(s),Tweet_Content,Post_Length,Likes_Count,Tweet_DateTime,Replies_Count,Retweets_Count,Image(s),video(s),GIF(s),HaveText,Tweet_URL,Reply_Content,Reply_URL
,A sheer tulle dress that fits with metallic pants https://t.co/u3d9zrVNfE https://t.co/ua7c4vWy1D,97,66,2023-08-29 18:00:34+00:00,8,5,1,0,0,True,https://twitter.com/ZARA/status/1696583635040866386,@ZARA When Iraq delivery open ? 😍,https://twitter.com/marzab7s/status/1698040260226134201
,A sheer tulle dress that fits with metallic pants https://t.co/u3d9zrVNfE https://t.co/ua7c4vWy1D,97,66,2023-08-29 18:00:34+00:00,8,5,1,0,0,True,https://twitter.com/ZARA/status/1696583635040866386,"@ZARA Zara para iademi yap artik! 25 agustostan beri yaziyorum oyalayip duruyorsunuz, Nasil bir markasiniz bıktırdınız! @ZARA @ZARA_Care",https://twitter.com/sensizim_yinee/status/1697960415110562083
,A sheer tulle dress that fits with metallic pants https://t.co/u3d9zrVNfE https://t.co/ua7c4vWy1D,97,66,2023-08-29 18:00:34+00:00,8,5,1,0,0,True,https://twitter.com/ZARA/status/1696583635040866386,@ZARA @anabellelozam @ZARA_Care تواصلت مع خدمة العملاء يتركوني على الانتظار ويغلقون الخط !! ماهذه المهزلة ؟!!!,https://twitter.com/C745Ut/status/1697901098672013466
,A sheer tulle dress that fits with metallic pants https://t.co/u3d9zrVNfE https://t.co/ua7c4vWy1D,97,66,2023-08-29 18:00:34+00:00,8,5,1,0,0,True,https://twitter.com/ZARA/status/1696583635040866386,"@ZARA @ZARA devolví artículos el 7 de agosto,me confirmaron su recepción pero no devolvían el dinero,puse la disputa en PayPal,es entonces cuando dijeron que si la retiraba me haría la devolución.PUES NI ME DEVUELVEN MI DINERO NI ME CONTESTAN @ZARAonline no compréis",https://twitter.com/AnitadeMadriZ/status/1697599835405160499
,A sheer tulle dress that fits with metallic pants https://t.co/u3d9zrVNfE https://t.co/ua7c4vWy1D,97,66,2023-08-29 18:00:34+00:00,8,5,1,0,0,True,https://twitter.com/ZARA/status/1696583635040866386,@ZARA love this leather coat!,https://twitter.com/semir_intl/status/1697450095963492426
,A sheer tulle dress that fits with metallic pants https://t.co/u3d9zrVNfE https://t.co/ua7c4vWy1D,97,66,2023-08-29 18:00:34+00:00,8,5,1,0,0,True,https://twitter.com/ZARA/status/1696583635040866386,"@anabellelozam Hola, sentimos lo que nos comenta. Por favor, envíe un MD a través de nuestra cuenta de atención al cliente @ZARA_Care, indicando si se trata de una compra online o en tienda física. Muchas gracias.",https://twitter.com/ZARA/status/1697036497277292803
,A sheer tulle dress that fits with metallic pants https://t.co/u3d9zrVNfE https://t.co/ua7c4vWy1D,97,66,2023-08-29 18:00:34+00:00,8,5,1,0,0,True,https://twitter.com/ZARA/status/1696583635040866386,"@ZARA Yo estoy muy enojada, compré varias prendas con color en Zara y al lavarlas se pintan el agua y se les quita el color. Además uno de los vestido era beige y verde se mezcló el verde y perdí la prendas. Es ropa que no baratas, uno piensa que está comprando algo bueno. O decepción. https://t.co/vr2UnkhlfV",https://twitter.com/anabellelozam/status/1697028925732372519
,Never enough of metallic https://t.co/u3d9zrVNfE https://t.co/Bq3EXXzx6o,72,87,2023-08-29 15:30:05+00:00,6,9,1,0,0,True,https://twitter.com/ZARA/status/1696545765311844622,"@ZARA Online’dan alip, magazadan iade ettigim urunun onay maili gelmedigi icin para iadem kartima yapilmiyor, @ZARA_Care yardimci olmuyor oyaliyor! Dolandirici misiniz parami iade edin!!",https://twitter.com/sensizim_yinee/status/1697961408384598111
,Never enough of metallic https://t.co/u3d9zrVNfE https://t.co/Bq3EXXzx6o,72,87,2023-08-29 15:30:05+00:00,6,9,1,0,0,True,https://twitter.com/ZARA/status/1696545765311844622,@ZARA @ZARA_Care Los he enviado ya 20 veces. @zara_Care se quedó con las prendas y con mi dinero.,https://twitter.com/AnitadeMadriZ/status/1697663723840700901
,Never enough of metallic https://t.co/u3d9zrVNfE https://t.co/Bq3EXXzx6o,72,87,2023-08-29 15:30:05+00:00,6,9,1,0,0,True,https://twitter.com/ZARA/status/1696545765311844622,"@AnitadeMadriZ Hola, por favor, envía un MD a nuestra cuenta de atención al cliente, @Zara_Care, con más detalles sobre la devolución, para que podamos revisarlo. Muchas gracias.",https://twitter.com/ZARA/status/1697607546956042419
,Never enough of metallic https://t.co/u3d9zrVNfE https://t.co/Bq3EXXzx6o,72,87,2023-08-29 15:30:05+00:00,6,9,1,0,0,True,https://twitter.com/ZARA/status/1696545765311844622,"@ZARA @ZARA devolví artículos el 7 de agosto,me confirmaron su recepción pero no devolvían el dinero,puse disputa en PayPal,es entonces cuando me dijeron que si la retiraba me harían la devolución.PUES NI ME DEVUELVEN MI DINERO NI ME CONTESTAN @ZARAonline me engañó.",https://twitter.com/AnitadeMadriZ/status/1697600050170360271
,Never enough of metallic https://t.co/u3d9zrVNfE https://t.co/Bq3EXXzx6o,72,87,2023-08-29 15:30:05+00:00,6,9,1,0,0,True,https://twitter.com/ZARA/status/1696545765311844622,@ZARA so unique,https://twitter.com/semir_intl/status/1697450197465579942
